customer_id,age,segment,credit_score,employment_status,income
1,71,Prime,725,Employed,53916
2,60,Subprime,588,Employed,24790
3,27,Near-Prime,683,Self-Employed,43716
4,52,Near-Prime,728,Employed,39333
5,68,Prime,788,Employed,71857
6,39,Prime,769,Employed,67327
7,26,Prime,735,Employed,64595
8,40,Subprime,624,Self-Employed,32546
9,47,Near-Prime,675,Employed,29678
10,73,Near-Prime,625,Self-Employed,45303
11,63,Prime,733,Employed,58763
12,57,Subprime,585,Employed,31638
13,68,Subprime,634,Unemployed,11477
14,27,Prime,742,Employed,59527
15,25,Prime,701,Employed,82008
16,31,Prime,752,Employed,54238
17,35,Prime,754,Employed,64363
18,23,Near-Prime,689,Self-Employed,36232
19,25,Prime,786,Employed,62906
20,43,Prime,790,Employed,64393
21,73,Near-Prime,650,Employed,42915
22,57,Prime,725,Employed,71692
23,29,Prime,708,Employed,46157
24,35,Prime,777,Employed,50127
25,23,Prime,807,Employed,57123
26,49,Near-Prime,664,Employed,47046
27,26,Prime,740,Employed,56794
28,37,Near-Prime,753,Employed,50286
29,46,Near-Prime,705,Employed,34706
30,41,Prime,767,Employed,43594
31,28,Near-Prime,620,Employed,42465
32,41,Prime,777,Employed,54228
33,31,Prime,712,Employed,60428
34,58,Subprime,511,Employed,27835
35,28,Subprime,559,Self-Employed,25959
36,62,Subprime,544,Employed,27550
37,44,Prime,741,Employed,55288
38,55,Prime,692,Employed,51950
39,34,Near-Prime,727,Employed,38374
40,34,Prime,795,Employed,50964
41,30,Prime,672,Self-Employed,63566
42,32,Prime,789,Employed,56940
43,58,Prime,717,Employed,77567
44,64,Subprime,631,Employed,28964
45,66,Prime,747,Employed,49491
46,54,Near-Prime,681,Employed,61365
47,61,Prime,742,Unemployed,11240
48,30,Near-Prime,740,Self-Employed,47920
49,37,Near-Prime,618,Employed,44736
50,37,Prime,774,Employed,61230
51,23,Subprime,646,Employed,31213
52,51,Near-Prime,715,Employed,31183
53,71,Subprime,719,Employed,30205
54,21,Subprime,548,Employed,20050
55,32,Near-Prime,727,Employed,38605
56,59,Subprime,573,Employed,23646
57,24,Prime,799,Employed,58574
58,62,Prime,749,Unemployed,11002
59,33,Prime,734,Employed,59811
60,54,Prime,802,Unemployed,10861
61,62,Prime,730,Employed,48931
62,41,Prime,693,Employed,52389
63,42,Subprime,548,Employed,33522
64,24,Prime,774,Employed,65678
65,38,Prime,805,Employed,43532
66,25,Near-Prime,685,Unemployed,8000
67,39,Prime,802,Unemployed,8000
68,22,Subprime,498,Employed,34271
69,32,Prime,732,Employed,67148
70,37,Subprime,562,Employed,22451
71,30,Near-Prime,674,Employed,42458
72,54,Prime,753,Employed,73344
73,26,Prime,777,Employed,59153
74,28,Subprime,553,Employed,36529
75,71,Near-Prime,686,Employed,47989
76,31,Near-Prime,677,Employed,32718
77,32,Near-Prime,633,Employed,38480
78,29,Prime,745,Employed,55347
79,22,Prime,744,Unemployed,10312
80,28,Prime,743,Employed,64163
81,31,Subprime,581,Unemployed,11226
82,73,Near-Prime,683,Self-Employed,16510
83,56,Prime,732,Unemployed,8000
84,30,Prime,800,Employed,33126
85,41,Prime,703,Employed,56753
86,40,Prime,721,Self-Employed,57404
87,68,Near-Prime,818,Employed,42265
88,28,Near-Prime,628,Employed,32328
89,56,Subprime,498,Unemployed,12022
90,49,Prime,779,Employed,62162
91,62,Prime,666,Unemployed,8000
92,32,Near-Prime,668,Self-Employed,28271
93,34,Near-Prime,787,Self-Employed,39998
94,68,Near-Prime,602,Employed,54334
95,74,Near-Prime,580,Self-Employed,53597
96,70,Prime,690,Employed,60634
97,41,Near-Prime,724,Unemployed,8000
98,42,Prime,794,Employed,63868
99,41,Prime,729,Employed,50475
100,64,Prime,777,Employed,47324
101,70,Prime,805,Employed,33560
102,50,Near-Prime,769,Employed,40819
103,59,Prime,740,Self-Employed,48701
104,40,Near-Prime,564,Employed,40771
105,44,Subprime,530,Employed,14203
106,43,Prime,732,Employed,56698
107,27,Prime,739,Employed,30688
108,29,Near-Prime,670,Self-Employed,48703
109,21,Prime,794,Employed,60218
110,46,Prime,800,Employed,52213
111,58,Prime,743,Employed,60627
112,58,Prime,793,Employed,45219
113,74,Subprime,601,Employed,28434
114,64,Subprime,583,Unemployed,12384
115,42,Near-Prime,725,Employed,15245
116,64,Subprime,584,Self-Employed,25316
117,30,Subprime,703,Employed,27864
118,26,Prime,692,Employed,53037
119,37,Subprime,549,Unemployed,14371
120,71,Near-Prime,673,Employed,31008
121,70,Subprime,606,Unemployed,8136
122,58,Subprime,656,Employed,16504
123,44,Prime,749,Employed,70102
124,71,Prime,693,Employed,52537
125,30,Prime,783,Employed,50615
126,28,Prime,780,Employed,54475
127,41,Subprime,463,Employed,31817
128,26,Subprime,579,Employed,30084
129,41,Prime,686,Employed,81478
130,59,Near-Prime,646,Employed,43631
131,44,Prime,713,Employed,50347
132,53,Prime,782,Employed,49386
133,38,Prime,754,Employed,51072
134,48,Prime,698,Employed,39981
135,72,Subprime,632,Self-Employed,28239
136,52,Prime,692,Employed,62834
137,32,Near-Prime,696,Employed,35093
