customer_id,age,segment,credit_score,employment_status,income,account_id,credit_limit,balance,utilisation_rate,days_past_due,default_flag,high_risk_flag,risk_level
1,71,Prime,725,Employed,53916,1,12443,2643,0.21240858313911437,0,0,0,Low
2,60,Subprime,588,Employed,24790,2,3225,2286,0.7088372093023256,0,0,1,Medium
3,27,Near-Prime,683,Self-Employed,43716,3,6259,3564,0.5694200351493849,0,0,0,Low
4,52,Near-Prime,728,Employed,39333,4,7866,4981,0.6332316297991355,0,0,0,Low
5,68,Prime,788,Employed,71857,5,4310,1098,0.25475638051044086,0,0,0,Low
6,39,Prime,769,Employed,67327,6,7976,3328,0.4172517552657974,0,0,0,Low
7,26,Prime,735,Employed,64595,7,8225,3318,0.4034042553191489,0,0,0,Low
8,40,Subprime,624,Self-Employed,32546,8,3163,1868,0.5905785646538096,0,0,0,Low
9,47,Near-Prime,675,Employed,29678,9,5739,3594,0.6262415054887611,0,0,0,Low
10,73,Near-Prime,625,Self-Employed,45303,10,8170,4426,0.5417380660954713,0,0,0,Low
11,63,Prime,733,Employed,58763,11,10346,5424,0.5242605838005026,0,0,0,Low
12,57,Subprime,585,Employed,31638,12,4458,2802,0.6285329744279946,0,0,1,Low
13,68,Subprime,634,Unemployed,11477,13,3547,3094,0.8722864392444319,0,0,1,Medium
14,27,Prime,742,Employed,59527,14,6201,2038,0.3286566682793098,0,0,0,Low
15,25,Prime,701,Employed,82008,15,4840,1742,0.35991735537190084,0,0,0,Low
16,31,Prime,752,Employed,54238,16,5941,2938,0.49452954048140046,0,0,0,Low
17,35,Prime,754,Employed,64363,17,9719,4715,0.4851322152484824,0,0,0,Low
18,23,Near-Prime,689,Self-Employed,36232,18,6047,3426,0.566561931536299,0,0,0,Low
19,25,Prime,786,Employed,62906,19,8579,3513,0.4094882853479426,0,0,0,Low
20,43,Prime,790,Employed,64393,20,8262,1916,0.23190510772210118,0,0,0,Low
21,73,Near-Prime,650,Employed,42915,21,9017,8390,0.9304646778307641,0,0,1,Medium
22,57,Prime,725,Employed,71692,22,7354,4067,0.5530323633396791,0,0,0,Low
23,29,Prime,708,Employed,46157,23,10855,5945,0.5476738830032243,0,0,0,Low
24,35,Prime,777,Employed,50127,24,9003,1897,0.21070754193046762,0,0,0,Low
